number,Time spent,A sense of familiarity regarding current situation,Famous song lyrics,Full name of a famous movie,The thinker sculpture,Los Angeles spelling,Volkswagen logo,Soviet Union flag,Pikachu's tail,The title of a famous old Chinese poetry,Have you heard of Mandela Effect,Yes-Which theory do you believe in,No-Explain - Which theory do you believe in
1,62.00 ,Yes,56 minzu,Have  Been After,Chin,Los Anglelas,without blue strip,without a star,with black strip,with the place name,Yes,parallel realities theory,N/A
2,50.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Anglelas,with blue strip,without a star,with black strip,with the place name,No,N/A,N/A
3,39.00 ,Yes,56 minzu,Went After,Chin,Los Anglelas,with blue strip,with a star,with black strip,with the place name,No,N/A,N/A
4,71.00 ,Yes,56 minzu,Have  Been After,Chin,Los Anglelas,without blue strip,without a star,without black strip,with the place name,Yes,parallel realities theory,N/A
5,48.00 ,Yes,56 constellations,Went After,Forehead,Los Angeles,with blue strip,without a star,without black strip,with the place name,Yes,false memory theory,N/A
6,78.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,with black strip,with the place name,No,N/A,Time travel theory
7,112.00 ,Yes,56 constellations,Have  Been After,Chin,Los Anglelas,without blue strip,without a star,with black strip,with the place name,No,N/A,Time travel theory
8,91.00 ,Yes,56 minzu,Went After,Forehead,Los Angeles,with blue strip,with a star,with black strip,with the place name,Yes,false memory theory,N/A
9,140.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,with black strip,without the place name,No,N/A,Time travel theory
10,53.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,with a star,with black strip,without the place name,Yes,false memory theory,N/A
11,123.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,without a star,with black strip,with the place name,No,N/A,Time travel theory
12,65.00 ,Yes,56 minzu,Have  Been After,Chin,Los Anglelas,without blue strip,without a star,with black strip,without the place name,No,N/A,Time travel theory
13,111.00 ,Yes,56 constellations,Have  Been After,Chin,Los Angeles,with blue strip,without a star,with black strip,without the place name,No,N/A,Time travel theory
14,209.00 ,Yes,56 constellations,Went After,Chin,Los Anglelas,with blue strip,with a star,without black strip,without the place name,No,N/A,Time travel theory
15,66.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,without a star,without black strip,without the place name,No,N/A,Time travel theory
16,59.00 ,Yes,56 constellations,Went After,Forehead,Los Angeles,without blue strip,without a star,without black strip,without the place name,Yes,false memory theory,N/A
17,142.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,without a star,without black strip,with the place name,No,N/A,Time travel theory
18,112.00 ,Yes,56 minzu,Went After,Chin,Los Angeles,with blue strip,without a star,without black strip,without the place name,Yes,false memory theory,N/A
19,97.00 ,Yes,56 minzu,Have  Been After,Chin,Los Angeles,with blue strip,without a star,without black strip,without the place name,Yes,false memory theory,N/A
20,84.00 ,Yes,56 minzu,Have  Been After,Chin,Los Angeles,without blue strip,without a star,without black strip,without the place name,No,N/A,Time travel theory
21,74.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,with black strip,with the place name,No,N/A,Time travel theory
22,178.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Anglelas,with blue strip,with a star,with black strip,with the place name,No,N/A,Time travel theory
23,220.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,without a star,with black strip,without the place name,No,N/A,Time travel theory
24,121.00 ,Yes,56 constellations,Went After,Chin,Los Angeles,without blue strip,without a star,with black strip,without the place name,Yes,false memory theory,N/A
25,154.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,with a star,with black strip,with the place name,No,N/A,Time travel theory
26,137.00 ,No,56 minzu,Have  Been After,Chin,Los Angeles,without blue strip,without a star,without black strip,without the place name,No,N/A,Time travel theory
27,215.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,with a star,with black strip,without the place name,No,N/A,quantum computer
28,124.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,with a star,with black strip,with the place name,Yes,parallel realities theory,N/A
29,55.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Anglelas,with blue strip,without a star,with black strip,with the place name,Yes,false memory theory,N/A
30,241.00 ,No,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,with a star,with black strip,without the place name,No,N/A,Time travel theory
31,154.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,with black strip,with the place name,No,N/A,Time travel theory
32,163.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,with black strip,with the place name,No,N/A,parallel realities theory
33,107.00 ,No,56 minzu,Have  Been After,Forehead,Los Anglelas,with blue strip,without a star,with black strip,without the place name,No,N/A,Time travel theory
34,78.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,without a star,without black strip,without the place name,No,N/A,Time travel theory
35,62.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,with black strip,with the place name,Yes,parallel realities theory,N/A
36,64.00 ,Yes,56 minzu,Have  Been After,Chin,Los Anglelas,without blue strip,without a star,without black strip,with the place name,No,N/A,Time travel theory
37,48.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,without a star,with black strip,with the place name,No,N/A,Time travel theory
38,60.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,without black strip,with the place name,No,N/A,4
39,129.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Anglelas,without blue strip,without a star,with black strip,without the place name,No,N/A,Time travel theory
40,83.00 ,Yes,56 minzu,Have  Been After,Chin,Los Anglelas,with blue strip,with a star,with black strip,without the place name,No,N/A,Time travel theory
41,40.00 ,Yes,56 minzu,Have  Been After,Chin,Los Anglelas,with blue strip,without a star,with black strip,without the place name,No,N/A,Time travel theory
42,108.00 ,Yes,56 minzu,Have  Been After,Chin,Los Angeles,without blue strip,without a star,with black strip,with the place name,No,N/A,parallel realities theory
43,136.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Anglelas,with blue strip,with a star,without black strip,with the place name,No,N/A,Time travel theory
44,170.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,with a star,without black strip,without the place name,No,N/A,Time travel theory
45,85.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Anglelas,with blue strip,with a star,without black strip,without the place name,No,N/A,parallel realities theory
46,171.00 ,Yes,56 minzu,Have  Been After,Chin,Los Anglelas,with blue strip,without a star,without black strip,with the place name,No,N/A,Time travel theory
47,92.00 ,Yes,56 minzu,Have  Been After,Chin,Los Angeles,with blue strip,without a star,without black strip,without the place name,No,N/A,Time travel theory
48,110.00 ,No,56 minzu,Have  Been After,Chin,Los Angeles,with blue strip,without a star,with black strip,without the place name,No,N/A,Time travel theory
49,80√Î,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,without black strip,with the place name,No,N/A,Time travel theory
50,194.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,without a star,with black strip,with the place name,Yes,false memory theory,N/A
51,267.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,with a star,without black strip,with the place name,No,N/A,Time travel theory
52,81.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,without a star,without black strip,without the place name,No,N/A,parallel realities theory
53,224.00 ,Yes,56 constellations,Have  Been After,Forehead,Los Angeles,without blue strip,with a star,without black strip,without the place name,No,N/A,Time travel theory
54,125.00 ,Yes,56 constellations,Went After,Forehead,Los Angeles,without blue strip,without a star,without black strip,without the place name,No,N/A,Time travel theory
55,98.00 ,Yes,56 minzu,Have  Been After,Chin,Los Anglelas,with blue strip,without a star,with black strip,with the place name,No,N/A,Time travel theory
56,187.00 ,Yes,56 minzu,Went After,Forehead,Los Angeles,without blue strip,without a star,without black strip,with the place name,No,N/A,Time travel theory
57,83.00 ,Yes,56 minzu,Have  Been After,Chin,Los Angeles,with blue strip,without a star,with black strip,with the place name,No,N/A,Time travel theory
58,56.00 ,Yes,56 constellations,Went After,Chin,Los Angeles,with blue strip,without a star,without black strip,without the place name,Yes,false memory theory,N/A
59,104.00 ,Yes,56 constellations,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,with black strip,without the place name,No,N/A,Time travel theory
60,286.00 ,Yes,56 constellations,Went After,Forehead,Los Angeles,without blue strip,with a star,with black strip,without the place name,No,N/A,Time travel theory
61,93.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,with black strip,with the place name,No,N/A,Time travel theory
62,80.00 ,Yes,56 constellations,Have  Been After,Chin,Los Anglelas,without blue strip,without a star,without black strip,without the place name,Yes,time travel theory,N/A
63,55.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,with black strip,without the place name,No,N/A,4
64,85.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,without black strip,with the place name,No,N/A,time travel theory
65,179.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,with a star,with black strip,without the place name,Yes,false memory theory,N/A
66,123.00 ,Yes,56 constellations,Went After,Chin,Los Anglelas,without blue strip,with a star,with black strip,with the place name,No,N/A,Time travel theory
67,82.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,without a star,with black strip,with the place name,No,N/A,Time travel theory
